# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20140901-20161231
# ----------------------------------------

Day Index,Sessions,Pageviews
9/1/14,0,0
9/2/14,0,0
9/3/14,0,0
9/4/14,0,0
9/5/14,0,0
9/6/14,0,0
9/7/14,0,0
9/8/14,0,0
9/9/14,0,0
9/10/14,0,0
9/11/14,0,0
9/12/14,0,0
9/13/14,0,0
9/14/14,0,0
9/15/14,4,9
9/16/14,4,12
9/17/14,21,134
9/18/14,4,18
9/19/14,0,0
9/20/14,0,0
9/21/14,0,0
9/22/14,0,0
9/23/14,2,3
9/24/14,0,0
9/25/14,1,1
9/26/14,1,2
9/27/14,2,6
9/28/14,0,0
9/29/14,1,1
9/30/14,1,1
10/1/14,3,4
10/2/14,2,9
10/3/14,5,9
10/4/14,2,2
10/5/14,3,10
10/6/14,1,1
10/7/14,1,1
10/8/14,1,2
10/9/14,5,11
10/10/14,6,25
10/11/14,11,30
10/12/14,3,10
10/13/14,20,51
10/14/14,9,14
10/15/14,2,2
10/16/14,1,1
10/17/14,7,10
10/18/14,4,8
10/19/14,6,35
10/20/14,5,18
10/21/14,0,0
10/22/14,1,1
10/23/14,8,35
10/24/14,4,4
10/25/14,6,18
10/26/14,56,164
10/27/14,23,42
10/28/14,10,28
10/29/14,10,22
10/30/14,6,21
10/31/14,7,19
11/1/14,16,62
11/2/14,10,27
11/3/14,3,3
11/4/14,18,33
11/5/14,9,19
11/6/14,2,2
11/7/14,7,21
11/8/14,4,9
11/9/14,2,3
11/10/14,1,6
11/11/14,3,6
11/12/14,7,28
11/13/14,1,1
11/14/14,3,13
11/15/14,6,13
11/16/14,6,27
11/17/14,2,4
11/18/14,3,7
11/19/14,2,2
11/20/14,6,13
11/21/14,2,3
11/22/14,3,3
11/23/14,3,8
11/24/14,3,6
11/25/14,3,9
11/26/14,7,83
11/27/14,6,19
11/28/14,15,24
11/29/14,7,12
11/30/14,6,26
12/1/14,5,13
12/2/14,5,19
12/3/14,6,15
12/4/14,10,34
12/5/14,7,34
12/6/14,5,16
12/7/14,10,29
12/8/14,3,6
12/9/14,7,10
12/10/14,4,4
12/11/14,7,13
12/12/14,6,18
12/13/14,30,108
12/14/14,28,118
12/15/14,7,17
12/16/14,7,33
12/17/14,3,5
12/18/14,10,100
12/19/14,9,43
12/20/14,14,42
12/21/14,7,16
12/22/14,10,50
12/23/14,7,10
12/24/14,10,18
12/25/14,7,10
12/26/14,10,29
12/27/14,29,69
12/28/14,22,40
12/29/14,12,26
12/30/14,13,23
12/31/14,7,16
1/1/15,12,33
1/2/15,16,57
1/3/15,6,7
1/4/15,16,37
1/5/15,6,12
1/6/15,6,12
1/7/15,5,47
1/8/15,11,35
1/9/15,6,10
1/10/15,3,5
1/11/15,2,3
1/12/15,14,38
1/13/15,7,14
1/14/15,7,26
1/15/15,8,30
1/16/15,3,3
1/17/15,5,14
1/18/15,5,40
1/19/15,5,23
1/20/15,93,94
1/21/15,2,2
1/22/15,2,2
1/23/15,6,16
1/24/15,3,6
1/25/15,3,7
1/26/15,6,19
1/27/15,6,9
1/28/15,2,2
1/29/15,7,8
1/30/15,6,21
1/31/15,5,6
2/1/15,0,0
2/2/15,3,3
2/3/15,4,4
2/4/15,12,34
2/5/15,5,8
2/6/15,7,8
2/7/15,8,16
2/8/15,8,13
2/9/15,10,10
2/10/15,16,19
2/11/15,10,12
2/12/15,8,23
2/13/15,5,5
2/14/15,8,10
2/15/15,12,39
2/16/15,5,5
2/17/15,7,9
2/18/15,9,15
2/19/15,11,11
2/20/15,10,44
2/21/15,4,5
2/22/15,9,44
2/23/15,4,5
2/24/15,8,8
2/25/15,7,9
2/26/15,10,10
2/27/15,12,35
2/28/15,7,9
3/1/15,5,5
3/2/15,10,27
3/3/15,8,14
3/4/15,9,19
3/5/15,8,20
3/6/15,5,8
3/7/15,6,6
3/8/15,9,10
3/9/15,7,8
3/10/15,9,17
3/11/15,8,8
3/12/15,7,13
3/13/15,7,7
3/14/15,6,24
3/15/15,9,10
3/16/15,13,18
3/17/15,45,54
3/18/15,3,3
3/19/15,4,8
3/20/15,5,5
3/21/15,45,47
3/22/15,36,74
3/23/15,6,17
3/24/15,7,46
3/25/15,4,23
3/26/15,39,56
3/27/15,19,22
3/28/15,8,22
3/29/15,7,7
3/30/15,6,15
3/31/15,28,31
4/1/15,26,30
4/2/15,33,35
4/3/15,4,4
4/4/15,5,9
4/5/15,8,8
4/6/15,12,19
4/7/15,3,3
4/8/15,14,16
4/9/15,9,19
4/10/15,11,31
4/11/15,7,10
4/12/15,5,5
4/13/15,5,6
4/14/15,6,6
4/15/15,12,12
4/16/15,3,3
4/17/15,4,4
4/18/15,16,17
4/19/15,5,7
4/20/15,51,51
4/21/15,6,8
4/22/15,13,14
4/23/15,9,15
4/24/15,29,49
4/25/15,34,63
4/26/15,23,40
4/27/15,21,51
4/28/15,24,32
4/29/15,8,10
4/30/15,50,73
5/1/15,7,13
5/2/15,9,45
5/3/15,97,154
5/4/15,5,5
5/5/15,38,44
5/6/15,41,53
5/7/15,38,72
5/8/15,44,47
5/9/15,78,110
5/10/15,52,62
5/11/15,16,20
5/12/15,34,41
5/13/15,8,21
5/14/15,34,38
5/15/15,98,615
5/16/15,35,73
5/17/15,25,38
5/18/15,25,39
5/19/15,65,83
5/20/15,64,85
5/21/15,7,13
5/22/15,21,47
5/23/15,10,11
5/24/15,19,67
5/25/15,62,68
5/26/15,106,117
5/27/15,125,131
5/28/15,82,93
5/29/15,32,45
5/30/15,40,45
5/31/15,20,46
6/1/15,70,77
6/2/15,102,123
6/3/15,95,95
6/4/15,76,75
6/5/15,97,605
6/6/15,36,46
6/7/15,57,58
6/8/15,89,90
6/9/15,78,88
6/10/15,88,121
6/11/15,71,74
6/12/15,34,41
6/13/15,74,110
6/14/15,138,147
6/15/15,108,114
6/16/15,81,89
6/17/15,99,108
6/18/15,22,41
6/19/15,95,111
6/20/15,40,47
6/21/15,86,104
6/22/15,41,45
6/23/15,47,83
6/24/15,43,51
6/25/15,31,31
6/26/15,14,33
6/27/15,39,44
6/28/15,40,39
6/29/15,113,176
6/30/15,20,58
7/1/15,56,55
7/2/15,46,64
7/3/15,19,71
7/4/15,55,90
7/5/15,27,29
7/6/15,70,350
7/7/15,68,85
7/8/15,53,127
7/9/15,56,165
7/10/15,60,76
7/11/15,28,36
7/12/15,17,17
7/13/15,103,117
7/14/15,45,68
7/15/15,15,49
7/16/15,45,47
7/17/15,44,58
7/18/15,19,20
7/19/15,31,37
7/20/15,28,33
7/21/15,57,63
7/22/15,67,70
7/23/15,94,140
7/24/15,48,119
7/25/15,46,49
7/26/15,56,60
7/27/15,46,75
7/28/15,47,68
7/29/15,29,29
7/30/15,29,32
7/31/15,51,68
8/1/15,58,80
8/2/15,50,53
8/3/15,56,61
8/4/15,48,70
8/5/15,38,72
8/6/15,59,66
8/7/15,92,125
8/8/15,43,125
8/9/15,73,141
8/10/15,37,44
8/11/15,46,64
8/12/15,26,42
8/13/15,47,51
8/14/15,12,21
8/15/15,15,18
8/16/15,18,24
8/17/15,20,23
8/18/15,19,21
