# ----------------------------------------
# All Web Site Data
# Pages
# 20140901-20161231
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"12,787","10,249",00:01:09,"9,860",79.00%,67.84%,$0.00
/about-me,994,659,00:00:54,45,68.89%,27.06%,$0.00
/index,888,518,00:00:46,46,32.61%,14.75%,$0.00
/advice-for-young-people,778,588,00:03:43,491,76.17%,62.34%,$0.00
/resources-for-the-university-of-washington,735,383,00:01:41,176,63.64%,34.69%,$0.00
/about,610,400,00:00:30,20,45.00%,13.77%,$0.00
/my-uw-essays,536,466,00:03:22,381,85.83%,72.39%,$0.00
/my-quora-answers,483,338,00:01:39,192,74.48%,49.07%,$0.00
/university-of-washington,439,137,00:00:23,19,21.05%,5.69%,$0.00
/_all,384,181,00:00:31,16,50.00%,8.59%,$0.00
/math-134,336,258,00:02:39,175,67.43%,50.60%,$0.00
/phys-121,320,265,00:03:47,222,78.83%,68.12%,$0.00
/contact,310,224,00:01:40,72,68.06%,35.81%,$0.00
/_tags/math,267,166,00:00:12,6,50.00%,4.49%,$0.00
/about-the-site,202,164,00:01:27,6,83.33%,18.32%,$0.00
/cse-142,196,170,00:01:42,109,84.40%,53.57%,$0.00
/content-creation,191,162,00:02:07,41,70.73%,39.79%,$0.00
/www1.free-share-buttons.top,188,64,00:00:00,64,1.56%,34.04%,$0.00
/cse-143,180,140,00:00:45,82,69.51%,39.44%,$0.00
/_tags/computing,173,102,00:00:06,1,100.00%,7.51%,$0.00
/math,162,94,00:00:06,5,40.00%,2.47%,$0.00
/feed,159,119,00:01:02,7,14.29%,25.79%,$0.00
/math-334,156,125,00:03:16,66,68.18%,41.67%,$0.00
/how-should-i-properly-pronounce-your-name,154,137,00:00:52,12,58.33%,20.13%,$0.00
/content-creation-the-organization-and-dissemination-of-knowledge,153,124,00:03:14,69,82.61%,61.44%,$0.00
/?from=http://www.traffic2cash.xyz/,151,151,00:00:00,151,100.00%,100.00%,$0.00
/computing,146,73,00:00:12,5,60.00%,8.22%,$0.00
/_all_date,145,80,00:00:25,10,50.00%,11.03%,$0.00
/my-uw-honors-portfolio,145,100,00:01:39,51,60.78%,33.79%,$0.00
/sharebutton.to,142,48,00:00:00,48,2.08%,33.80%,$0.00
/revisiting-the-great-decline-in-wikipedia-pageviews,127,90,00:08:32,68,69.12%,66.14%,$0.00
/tags/math,127,79,00:00:24,0,0.00%,6.30%,$0.00
/effective-altruism-links,125,98,00:02:38,37,72.97%,53.60%,$0.00
/cognito-mentoring,122,99,00:06:08,65,72.31%,57.38%,$0.00
/effective-altruism,114,104,00:01:24,25,64.00%,35.96%,$0.00
/math-335,113,97,00:02:17,38,68.42%,35.40%,$0.00
/education,109,70,00:00:16,1,100.00%,1.83%,$0.00
/what-is-it-like-to-attend-the-seattle-japanese-school,106,95,00:02:52,79,83.54%,74.53%,$0.00
/installing-haskell,100,88,00:01:37,64,84.38%,68.00%,$0.00
/quora,92,78,00:00:53,6,33.33%,22.83%,$0.00
/wikipedia,91,82,00:02:30,23,78.26%,43.96%,$0.00
/music-i-like-to-listen-to,90,84,00:01:40,34,85.29%,55.56%,$0.00
/facebook,88,65,00:00:58,5,40.00%,21.59%,$0.00
/?from=http://adf.ly/1SDmxr,87,87,00:00:00,87,100.00%,100.00%,$0.00
/cse-311,87,66,00:01:09,22,63.64%,22.99%,$0.00
/hiding-the-cost,87,78,00:04:01,69,81.16%,77.01%,$0.00
/belief,86,74,00:00:59,7,28.57%,26.74%,$0.00
/givewell-staff-growth,86,74,00:02:02,51,70.59%,63.95%,$0.00
/zip-in-python,85,79,00:00:52,21,95.24%,41.18%,$0.00
/vim,83,66,00:02:53,33,78.79%,46.99%,$0.00
/_archive/34e46ebee350cca0cd1681bcfae108db1c9b95e3/uw-cse-application,81,65,00:04:15,57,75.44%,71.60%,$0.00
/having-ideas-that-are-lying-around,78,72,00:02:06,55,80.00%,70.51%,$0.00
/uw-year-one-in-review,76,48,00:01:03,1,0.00%,6.58%,$0.00
/winter-2015-at-the-university-of-washington,76,39,00:00:15,1,0.00%,3.95%,$0.00
/autumn-2014-at-the-university-of-washington,73,41,00:01:01,2,0.00%,1.37%,$0.00
/_tags/index,72,48,00:00:35,1,100.00%,5.56%,$0.00
/lesswrong,69,63,00:03:08,18,88.89%,44.93%,$0.00
/using-hakyll-with-github-pages,69,61,00:02:19,51,70.59%,62.32%,$0.00
/amath-383,68,62,00:01:05,38,81.58%,57.35%,$0.00
/some-thoughts-on-college-education,68,58,00:00:54,3,66.67%,16.18%,$0.00
/resolving-issues-with-the-irs,67,55,00:03:12,46,73.91%,62.69%,$0.00
/winter-2016-at-the-university-of-washington,67,46,00:00:11,1,100.00%,11.94%,$0.00
/engl-478,66,53,00:01:17,23,65.22%,31.82%,$0.00
/cse-332,65,51,00:01:39,11,63.64%,16.92%,$0.00
/japanese-input-on-the-command-line-framebuffer,65,63,00:02:24,51,96.08%,80.00%,$0.00
/june-2016-givewell-board-meeting,63,27,00:03:58,21,57.14%,34.92%,$0.00
/some-epsilon-delta-proofs,63,58,00:00:31,7,57.14%,19.05%,$0.00
/givewell-executive-compensation,62,52,00:03:28,38,68.42%,56.45%,$0.00
/linux-tricks,62,55,00:01:20,29,79.31%,53.23%,$0.00
/math-336,62,57,00:01:03,3,66.67%,11.29%,$0.00
/uw-cse-application,62,27,00:00:39,19,26.32%,32.26%,$0.00
/a-brief-summary-of-effective-study-methods,61,44,00:06:10,36,69.44%,59.02%,$0.00
/about-this-site,60,51,00:00:58,3,66.67%,23.33%,$0.00
/cse-351,60,50,00:01:39,8,50.00%,16.67%,$0.00
/math-136,60,51,00:00:30,14,92.86%,31.67%,$0.00
/mediawiki-with-nginx-on-linode,60,57,00:07:04,52,92.31%,85.00%,$0.00
/unschooling,59,52,00:00:34,5,80.00%,28.81%,$0.00
/notes-on-double-majoring-in-cse-and-math-at-uw,58,54,00:00:51,10,80.00%,24.14%,$0.00
/math-135,57,45,00:00:53,7,28.57%,17.54%,$0.00
/cse-390-for-cse-143,56,49,00:00:54,9,55.56%,28.57%,$0.00
/engl-131,55,50,00:00:29,19,84.21%,32.73%,$0.00
/commenting-on-this-site,51,44,00:00:07,2,100.00%,31.37%,$0.00
/list-of-analogies,51,49,00:01:36,45,95.56%,88.24%,$0.00
/_tags/university-of-washington,50,19,00:00:27,5,0.00%,4.00%,$0.00
/total-spending-in-global-health,50,37,00:04:55,31,70.97%,66.00%,$0.00
/?from=http://share-buttons.xyz/,49,49,00:00:00,49,100.00%,100.00%,$0.00
/54798318-1.compliance-ivan.xyz,48,17,00:00:00,17,5.88%,35.42%,$0.00
/minimality-exercise-from-halmos,48,48,00:00:17,5,80.00%,29.17%,$0.00
/spring-2015-at-the-university-of-washington,48,28,00:00:11,0,0.00%,2.08%,$0.00
/sure,48,44,00:01:59,36,69.44%,64.58%,$0.00
/in-praise-of-dullness,47,45,00:01:07,33,93.94%,76.60%,$0.00
/proving-the-limit-laws,47,43,00:01:03,1,0.00%,25.53%,$0.00
/material-implication,46,43,00:00:54,11,90.91%,39.13%,$0.00
/good-entry-point,44,41,00:03:08,37,70.27%,70.45%,$0.00
/notes-on-variables,41,39,00:00:41,1,0.00%,21.95%,$0.00
/tags/literary,41,21,00:00:09,2,0.00%,4.88%,$0.00
/college-computer-setup,40,38,00:02:18,3,100.00%,20.00%,$0.00
/honors-394,40,28,00:01:02,0,0.00%,15.00%,$0.00
/is-effective-altruism-new,40,24,00:10:13,20,65.00%,52.50%,$0.00
/?from=http://site-54798318-1.snip.tw/,39,39,00:00:00,39,100.00%,100.00%,$0.00
/autumn-2015-at-the-university-of-washington,39,24,00:00:06,0,0.00%,5.13%,$0.00
/betting-odds,39,38,00:00:39,8,87.50%,35.90%,$0.00
/econlog,38,30,00:03:10,13,53.85%,44.74%,$0.00
/bash-shortcuts,37,35,00:00:40,19,100.00%,62.16%,$0.00
/cse-390-for-cse-142,37,32,00:00:43,5,20.00%,13.51%,$0.00
/open-borders-the-case,37,35,00:04:28,33,78.79%,78.38%,$0.00
/atm-s-559,36,32,00:00:57,2,100.00%,13.89%,$0.00
/high-school-student-universities-should-pay-me,36,33,00:00:42,20,95.00%,66.67%,$0.00
/?from=http://snip.to/,34,34,00:00:00,34,100.00%,100.00%,$0.00
/digital-preservation,33,29,00:01:49,24,75.00%,66.67%,$0.00
/pandoc,31,24,00:01:05,10,80.00%,51.61%,$0.00
/?from=http://get-your-social-buttons.info/?ref=46530076,30,30,00:00:00,30,100.00%,100.00%,$0.00
/cari-tuna,30,23,00:05:02,16,75.00%,56.67%,$0.00
/colophon,30,28,00:00:54,3,100.00%,50.00%,$0.00
/elementary-properties-of-closures,30,27,00:00:44,1,100.00%,13.33%,$0.00
/platex,30,29,00:00:27,11,100.00%,53.33%,$0.00
/status,30,25,00:00:46,3,33.33%,23.33%,$0.00
/tags/linux,30,26,00:00:13,0,0.00%,6.67%,$0.00
/54798318-1.compliance-fred.xyz,29,10,00:00:00,10,0.00%,34.48%,$0.00
/cse-190,28,26,00:00:10,0,0.00%,3.57%,$0.00
/all,27,19,00:00:24,4,25.00%,7.41%,$0.00
/bash-aliases,27,27,00:00:20,14,100.00%,59.26%,$0.00
/?from=http://net-profits.xyz/,26,26,00:00:00,26,100.00%,100.00%,$0.00
/54798318-1.compliance-alex.xyz,26,9,00:00:00,9,0.00%,34.62%,$0.00
/cse-390,26,17,00:00:53,7,57.14%,30.77%,$0.00
/depression,26,20,00:04:37,7,42.86%,23.08%,$0.00
/global-public-health-notes,26,17,00:01:41,8,75.00%,42.31%,$0.00
/information-regarding-website-source-and-page-source,26,23,00:00:24,5,100.00%,30.77%,$0.00
/long-content,25,21,00:01:12,9,33.33%,16.00%,$0.00
/_tags/university-of-washington-course-review,24,10,00:00:06,0,0.00%,4.17%,$0.00
/comments,24,22,00:02:51,9,77.78%,58.33%,$0.00
/honors-100,24,22,00:00:28,1,0.00%,0.00%,$0.00
/two-definitions-for-the-least-upper-bound,24,21,00:00:20,1,100.00%,12.50%,$0.00
/_archive/193e0c966299a1c889189b68f3482afe00f8ed90/a-brief-summary-of-effective-study-methods,23,20,00:03:15,19,94.74%,82.61%,$0.00
/?from=http://get-your-social-buttons.info/?ref=21150135,23,23,00:00:00,23,100.00%,100.00%,$0.00
