# ----------------------------------------
# All traffic excluding spam
# Audience Overview
# 20140901-20161231
# ----------------------------------------

Day Index,Sessions,Pageviews
9/1/14,0,0
9/2/14,0,0
9/3/14,0,0
9/4/14,0,0
9/5/14,0,0
9/6/14,0,0
9/7/14,0,0
9/8/14,0,0
9/9/14,0,0
9/10/14,0,0
9/11/14,0,0
9/12/14,0,0
9/13/14,0,0
9/14/14,0,0
9/15/14,0,0
9/16/14,0,0
9/17/14,0,0
9/18/14,0,0
9/19/14,0,0
9/20/14,0,0
9/21/14,0,0
9/22/14,0,0
9/23/14,0,0
9/24/14,0,0
9/25/14,0,0
9/26/14,0,0
9/27/14,0,0
9/28/14,0,0
9/29/14,0,0
9/30/14,0,0
10/1/14,0,0
10/2/14,0,0
10/3/14,0,0
10/4/14,0,0
10/5/14,0,0
10/6/14,0,0
10/7/14,0,0
10/8/14,0,0
10/9/14,0,0
10/10/14,0,0
10/11/14,0,0
10/12/14,0,0
10/13/14,0,0
10/14/14,0,0
10/15/14,0,0
10/16/14,0,0
10/17/14,0,0
10/18/14,0,0
10/19/14,0,0
10/20/14,0,0
10/21/14,0,0
10/22/14,0,0
10/23/14,0,0
10/24/14,0,0
10/25/14,0,0
10/26/14,0,0
10/27/14,0,0
10/28/14,0,0
10/29/14,0,0
10/30/14,0,0
10/31/14,0,0
11/1/14,0,0
11/2/14,0,0
11/3/14,0,0
11/4/14,0,0
11/5/14,0,0
11/6/14,0,0
11/7/14,0,0
11/8/14,0,0
11/9/14,0,0
11/10/14,0,0
11/11/14,0,0
11/12/14,0,0
11/13/14,0,0
11/14/14,0,0
11/15/14,0,0
11/16/14,0,0
11/17/14,0,0
11/18/14,0,0
11/19/14,0,0
11/20/14,0,0
11/21/14,0,0
11/22/14,0,0
11/23/14,0,0
11/24/14,0,0
11/25/14,0,0
11/26/14,0,0
11/27/14,0,0
11/28/14,0,0
11/29/14,0,0
11/30/14,0,0
12/1/14,0,0
12/2/14,0,0
12/3/14,0,0
12/4/14,0,0
12/5/14,0,0
12/6/14,0,0
12/7/14,0,0
12/8/14,0,0
12/9/14,0,0
12/10/14,0,0
12/11/14,0,0
12/12/14,0,0
12/13/14,0,0
12/14/14,0,0
12/15/14,0,0
12/16/14,0,0
12/17/14,0,0
12/18/14,0,0
12/19/14,0,0
12/20/14,0,0
12/21/14,0,0
12/22/14,0,0
12/23/14,0,0
12/24/14,0,0
12/25/14,0,0
12/26/14,0,0
12/27/14,0,0
12/28/14,0,0
12/29/14,0,0
12/30/14,0,0
12/31/14,0,0
1/1/15,0,0
1/2/15,0,0
1/3/15,0,0
1/4/15,0,0
1/5/15,0,0
1/6/15,0,0
1/7/15,0,0
1/8/15,0,0
1/9/15,0,0
1/10/15,0,0
1/11/15,0,0
1/12/15,0,0
1/13/15,0,0
1/14/15,0,0
1/15/15,0,0
1/16/15,0,0
1/17/15,0,0
1/18/15,0,0
1/19/15,0,0
1/20/15,0,0
1/21/15,0,0
1/22/15,0,0
1/23/15,0,0
1/24/15,0,0
1/25/15,0,0
1/26/15,0,0
1/27/15,0,0
1/28/15,0,0
1/29/15,0,0
1/30/15,0,0
1/31/15,0,0
2/1/15,0,0
2/2/15,0,0
2/3/15,0,0
2/4/15,0,0
2/5/15,0,0
2/6/15,0,0
2/7/15,0,0
2/8/15,0,0
2/9/15,0,0
2/10/15,0,0
2/11/15,0,0
2/12/15,0,0
2/13/15,0,0
2/14/15,0,0
2/15/15,0,0
2/16/15,0,0
2/17/15,0,0
2/18/15,0,0
2/19/15,0,0
2/20/15,0,0
2/21/15,0,0
2/22/15,0,0
2/23/15,0,0
2/24/15,0,0
2/25/15,0,0
2/26/15,0,0
2/27/15,0,0
2/28/15,0,0
3/1/15,0,0
3/2/15,0,0
3/3/15,0,0
3/4/15,0,0
3/5/15,0,0
3/6/15,0,0
3/7/15,0,0
3/8/15,0,0
3/9/15,0,0
3/10/15,0,0
3/11/15,0,0
3/12/15,0,0
3/13/15,0,0
3/14/15,0,0
3/15/15,0,0
3/16/15,0,0
3/17/15,0,0
3/18/15,0,0
3/19/15,0,0
3/20/15,0,0
3/21/15,0,0
3/22/15,0,0
3/23/15,0,0
3/24/15,0,0
3/25/15,0,0
3/26/15,0,0
3/27/15,0,0
3/28/15,0,0
3/29/15,0,0
3/30/15,0,0
3/31/15,0,0
4/1/15,0,0
4/2/15,0,0
4/3/15,0,0
4/4/15,0,0
4/5/15,0,0
4/6/15,0,0
4/7/15,0,0
4/8/15,0,0
4/9/15,0,0
4/10/15,0,0
4/11/15,0,0
4/12/15,0,0
4/13/15,0,0
4/14/15,0,0
4/15/15,0,0
4/16/15,0,0
4/17/15,0,0
4/18/15,0,0
4/19/15,0,0
4/20/15,0,0
4/21/15,0,0
4/22/15,0,0
4/23/15,0,0
4/24/15,0,0
4/25/15,0,0
4/26/15,0,0
4/27/15,0,0
4/28/15,0,0
4/29/15,0,0
4/30/15,0,0
5/1/15,0,0
5/2/15,0,0
5/3/15,0,0
5/4/15,0,0
5/5/15,0,0
5/6/15,0,0
5/7/15,0,0
5/8/15,0,0
5/9/15,0,0
5/10/15,0,0
5/11/15,0,0
5/12/15,0,0
5/13/15,0,0
5/14/15,0,0
5/15/15,0,0
5/16/15,0,0
5/17/15,0,0
5/18/15,0,0
5/19/15,0,0
5/20/15,0,0
5/21/15,0,0
5/22/15,0,0
5/23/15,0,0
5/24/15,0,0
5/25/15,0,0
5/26/15,0,0
5/27/15,0,0
5/28/15,0,0
5/29/15,0,0
5/30/15,0,0
5/31/15,0,0
6/1/15,0,0
6/2/15,0,0
6/3/15,0,0
6/4/15,0,0
6/5/15,0,0
6/6/15,0,0
6/7/15,0,0
6/8/15,0,0
6/9/15,0,0
6/10/15,0,0
6/11/15,0,0
6/12/15,0,0
6/13/15,0,0
6/14/15,0,0
6/15/15,0,0
6/16/15,0,0
6/17/15,0,0
6/18/15,0,0
6/19/15,0,0
6/20/15,0,0
6/21/15,0,0
6/22/15,0,0
6/23/15,0,0
6/24/15,0,0
6/25/15,0,0
6/26/15,0,0
6/27/15,0,0
6/28/15,0,0
6/29/15,113,176
6/30/15,20,58
7/1/15,56,55
7/2/15,46,64
7/3/15,19,71
7/4/15,55,90
7/5/15,27,29
7/6/15,70,350
7/7/15,68,85
7/8/15,53,127
7/9/15,12,119
7/10/15,17,30
7/11/15,7,15
7/12/15,2,3
7/13/15,10,19
7/14/15,12,36
7/15/15,4,38
7/16/15,5,6
7/17/15,7,18
7/18/15,3,4
7/19/15,9,13
7/20/15,10,16
7/21/15,8,11
7/22/15,3,4
7/23/15,7,45
7/24/15,4,74
7/25/15,3,6
7/26/15,10,11
7/27/15,29,58
7/28/15,10,32
7/29/15,4,4
7/30/15,10,14
7/31/15,8,22
8/1/15,11,31
8/2/15,7,8
8/3/15,8,13
8/4/15,24,46
8/5/15,19,53
8/6/15,16,18
8/7/15,49,80
8/8/15,25,108
8/9/15,37,105
8/10/15,5,9
8/11/15,12,27
8/12/15,12,28
8/13/15,9,13
8/14/15,6,15
8/15/15,3,7
8/16/15,8,14
8/17/15,6,10
8/18/15,8,10
